Year,Team cat,place,Name,Nameabb,Point
2016,Small Team,16,Brookline Recreation,BRKL-NE,103
2016,Small Team,17,Pittsfield YMCA Polar Bears,PITY-NE,54
2016,Small Team,18,JCC Newton Masters,JCCN-NE,27
2016,Squad,1,MOVY Masters,MOVY-MV,392
2016,Squad,2,Western Mass Waterhorses,WMW-NE,291
2016,Squad,3,Chelsea Piers Masters,CHEL-MR,184
2016,Squad,4,Wellesley Masters Swimming,WELL-NE,175
2016,Squad,5,UMass Aquatic Masters,UMAS-NE,168
2016,Squad,6,Walnut Creek Masters,WCM-PC,151
2016,Squad,7,Team New York Aquatics,TNYA-MR,141
2016,Squad,8,Binghamton Univ Masters,BUMS-NI,126
2016,Squad,8,Keene Swim Masters,KEEN-NE,126
2016,Squad,10,Greater Holyoke YMCA Masters,HOLY-NE,120
2016,Squad,11,Sarasota YMCA Sharks,SYSM-FL,91
2016,Squad,12,Hopkins Masters Swim Team,HMAS-CT,89
2016,Squad,13,Metro Masters Swim Club,METR-MR,84
2016,Squad,14,NYC Hydras,NYCH-MR,80
2016,Squad,15,Bennington Area Masters,BAM-NE,74
2016,Squad,16,Cape Cod Masters,CCM-NE,59
2016,Squad,17,Simmons Masters,SIMM-NE,57
2016,Squad,17,Life Time Swim New Jersey,LTMM-NJ,57
2016,Squad,19,Adirondack Aquatic Club Master,AAC-NE,54
2016,Squad,20,Rinconada Masters,RINC-PC,51
2016,Squad,21,New York Athletic Club,NYAC-MR,49
2016,Squad,22,Garden State Masters,GSM-NJ,35
2016,Squad,22,Kingsbury Club Masters,KING-NE,35
2016,Squad,24,Chelsea Piers Connecticut,CPCT-CT,32
2016,Squad,24,Club Tribe Alumni,1693-VA,32
2016,Squad,26,North Carolina Masters,NCMS-NC,25
2016,Squad,27,Thoreau Club,THOR-NE,24
2016,Squad,28,Pinehills Masters,PHM-NE,17
2016,Squad,28,The Olympic Club,TOC-PC,17
2016,Squad,30,Mansfield Master Marlins SC,MMMS-CT,14
2016,Squad,30,West Suburban YMCA Masters,WSY-NE,14
2016,Squad,32,UMB Masters,UMBM-NE,9
2015,USMS Club,1,Maine Masters Swim Club,MESC-NE,3193
